Date,Name,Amount,,,,
1/12/2022,DING TEA  ,$14.51,DING,TEA,,
1/12/2022,TACO BELL  ,$14.03,TACO,BELL,,
1/18/2022,CLUTCH PREP  ,$39.99,CLUTCH,PREP,,
1/18/2022,TROPICAL SMOOTHIE CAFE ,$6.48,TROPICAL,SMOOTHIE,CAFE,
1/19/2022,BOBA   ,$5.20,BOBA,,,
1/21/2022,KROGER   ,$8.07,KROGER,,,
1/22/2022,BUC-EE'S   ,$5.40,BUC-EE'S,,,
1/23/2022,7-ELEVEN   ,$3.89,7-ELEVEN,,,
1/25/2022,TST* RAMEN TATSU-YA ,$16.24,TST*,RAMEN,TATSU-YA,
1/28/2022,CHIPOTLE   ,$8.23,CHIPOTLE,,,
1/28/2022,SHAKE SMART  ,$3.77,SHAKE,SMART,,
1/29/2022,TARGET   ,$9.94,TARGET,,,
1/31/2022,TARGET   ,$7.34,TARGET,,,
2/1/2022,7-ELEVEN   ,$4.29,7-ELEVEN,,,
2/1/2022,CHIPOTLE   ,$10.72,CHIPOTLE,,,
2/2/2022,SHAKE SMART  ,$14.83,SHAKE,SMART,,
2/5/2022,BASIL THAI  ,$15.00,BASIL,THAI,,
2/5/2022,TEAPIOCA LOUNGE  ,$6.06,TEAPIOCA,LOUNGE,,
2/7/2022,7-ELEVEN   ,$4.29,7-ELEVEN,,,
2/12/2022,SQ *DOLLAR SLICE CLUB,$9.20,SQ,*DOLLAR,SLICE,CLUB
2/13/2022,UT WEB TXSHOP ,$25.00,UT,WEB,TXSHOP,
2/14/2022,SHAKE SMART  ,$7.25,SHAKE,SMART,,
2/16/2022,SQ *O'S CAMPUS CAFE,$3.79,SQ,*O'S,CAMPUS,CAFE
2/16/2022,TST* THE PIZZA PRESS,$10.77,TST*,THE,PIZZA,PRESS
2/17/2022,7-ELEVEN   ,$4.29,7-ELEVEN,,,
2/17/2022,FIV*GONG CHA DOBIE ,$6.50,FIV*GONG,CHA,DOBIE,
2/23/2022,AUSTIN AIRPORT-F&B  ,$7.81,AUSTIN,AIRPORT-F&B,,
2/24/2022,C1 FOOD HALL ,$16.79,C1,FOOD,HALL,
2/28/2022,RACE ROSTER  ,$44.10,RACE,ROSTER,,
3/7/2022,NUTS ON CLARK OHARE,$8.32,NUTS,ON,CLARK,OHARE
3/9/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
3/9/2022,USPS PO  ,$0.49,USPS,PO,,
3/9/2022,USPS PO  ,$0.88,USPS,PO,,
3/11/2022,FIV*GONG CHA DOBIE ,$4.75,FIV*GONG,CHA,DOBIE,
3/11/2022,FIV*GONG CHA DOBIE ,$5.25,FIV*GONG,CHA,DOBIE,
3/12/2022,SHAKE SMART  ,$3.50,SHAKE,SMART,,
3/13/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
3/13/2022,BUC-EE'S   ,$3.12,BUC-EE'S,,,
3/13/2022,TACO BELL  ,$11.89,TACO,BELL,,
3/14/2022,SHELL57546308909 SUGAR  ,$40.21,SHELL57546308909,SUGAR,,
3/14/2022,TEA HOUSE EXPRESS ,$4.49,TEA,HOUSE,EXPRESS,
3/19/2022,AMC   ,$73.58,AMC,,,
3/19/2022,SOJU   ,$22.94,SOJU,,,
3/21/2022,7-ELEVEN   ,$4.29,7-ELEVEN,,,
3/22/2022,SHAKE SMART  ,$5.90,SHAKE,SMART,,
3/27/2022,SHAKE SMART  ,$6.98,SHAKE,SMART,,
4/6/2022,FIV*GONG CHA DOBIE ,$4.75,FIV*GONG,CHA,DOBIE,
4/8/2022,CHIPOTLE   ,$11.00,CHIPOTLE,,,
4/10/2022,TARGET   ,$11.56,TARGET,,,
4/14/2022,7-ELEVEN   ,$4.89,7-ELEVEN,,,
4/14/2022,SNACK* MOGE TEE ,$5.95,SNACK*,MOGE,TEE,
4/19/2022,UT H&F FOOD SERVICE,$2.91,UT,H&F,FOOD,SERVICE
4/24/2022,SQ *COLD COOKIE COMPAN,$1.00,SQ,*COLD,COOKIE,COMPAN
4/24/2022,CAVA   ,$11.39,CAVA,,,
4/26/2022,SNACK* MOGE TEE ,$16.24,SNACK*,MOGE,TEE,
4/27/2022,AMZN MKTP  ,$28.11,AMZN,MKTP,,
5/4/2022,SHAKE SMART  ,$6.17,SHAKE,SMART,,
5/5/2022,DOMINO'S   ,$11.08,DOMINO'S,,,
5/5/2022,LEVELUPSWEETGREEN9027   ,$15.10,LEVELUPSWEETGREEN9027,,,
5/5/2022,SHAKE SMART  ,$6.44,SHAKE,SMART,,
5/6/2022,7-ELEVEN   ,$11.45,7-ELEVEN,,,
5/6/2022,LYFT   ,$2.60,LYFT,,,
5/6/2022,LYFT   ,$17.31,LYFT,,,
5/8/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
5/8/2022,CHIPOTLE   ,$10.99,CHIPOTLE,,,
5/11/2022,TORCHYS NORTHSHORE  ,$14.61,TORCHYS,NORTHSHORE,,
5/12/2022,POKE BOWL  ,$15.16,POKE,BOWL,,
5/13/2022,SQ *COLD COOKIE COMPAN,$1.00,SQ,*COLD,COOKIE,COMPAN
5/13/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
5/13/2022,THE HALAL CORNER ,$10.81,THE,HALAL,CORNER,
5/15/2022,TST* THE PIZZA PRESS,$11.80,TST*,THE,PIZZA,PRESS
5/16/2022,HTEAO   ,$0.60,HTEAO,,,
5/16/2022,KROGER   ,$10.37,KROGER,,,
5/17/2022,SPICE BAZAAR  ,$24.97,SPICE,BAZAAR,,
