Date,Name,Amount
1/12/2022,DING TEA  ,$14.51
1/12/2022,TACO BELL  ,$14.03
1/18/2022,CLUTCH PREP  ,$39.99
1/18/2022,TROPICAL SMOOTHIE CAFE ,$6.48
1/19/2022,BOBA   ,$5.20
1/21/2022,KROGER   ,$8.07
1/22/2022,BUC-EE'S   ,$5.40
1/23/2022,7-ELEVEN   ,$3.89
1/25/2022,TST* RAMEN TATSU-YA ,$16.24
1/28/2022,CHIPOTLE   ,$8.23
1/28/2022,SHAKE SMART  ,$3.77
1/29/2022,TARGET   ,$9.94
1/31/2022,TARGET   ,$7.34
2/1/2022,7-ELEVEN   ,$4.29
2/1/2022,CHIPOTLE   ,$10.72
2/2/2022,SHAKE SMART  ,$14.83
2/5/2022,BASIL THAI  ,$15.00
2/5/2022,TEAPIOCA LOUNGE  ,$6.06
2/7/2022,7-ELEVEN   ,$4.29
2/12/2022,SQ *DOLLAR SLICE CLUB,$9.20
2/13/2022,UT WEB TXSHOP ,$25.00
2/14/2022,SHAKE SMART  ,$7.25
2/16/2022,SQ *O'S CAMPUS CAFE,$3.79
2/16/2022,TST* THE PIZZA PRESS,$10.77
2/17/2022,7-ELEVEN   ,$4.29
2/17/2022,FIV*GONG CHA DOBIE ,$6.50
2/23/2022,AUSTIN AIRPORT-F&B  ,$7.81
2/24/2022,C1 FOOD HALL ,$16.79
2/28/2022,RACE ROSTER  ,$44.10
3/7/2022,NUTS ON CLARK OHARE,$8.32
3/9/2022,TST* THE PIZZA PRESS,$11.80
3/9/2022,USPS PO  ,$0.49
3/9/2022,USPS PO  ,$0.88
3/11/2022,FIV*GONG CHA DOBIE ,$4.75
3/11/2022,FIV*GONG CHA DOBIE ,$5.25
3/12/2022,SHAKE SMART  ,$3.50
3/13/2022,TST* THE PIZZA PRESS,$11.80
3/13/2022,BUC-EE'S   ,$3.12
3/13/2022,TACO BELL  ,$11.89
3/14/2022,SHELL57546308909 SUGAR  ,$40.21
3/14/2022,TEA HOUSE EXPRESS ,$4.49
3/19/2022,AMC   ,$73.58
3/19/2022,SOJU   ,$22.94
3/21/2022,7-ELEVEN   ,$4.29
3/22/2022,SHAKE SMART  ,$5.90
3/27/2022,SHAKE SMART  ,$6.98
4/6/2022,FIV*GONG CHA DOBIE ,$4.75
4/8/2022,CHIPOTLE   ,$11.00
4/10/2022,TARGET   ,$11.56
4/14/2022,7-ELEVEN   ,$4.89
4/14/2022,SNACK* MOGE TEE ,$5.95
4/19/2022,UT H&F FOOD SERVICE,$2.91
4/24/2022,SQ *COLD COOKIE COMPAN,$1.00
4/24/2022,CAVA   ,$11.39
4/26/2022,SNACK* MOGE TEE ,$16.24
4/27/2022,AMZN MKTP  ,$28.11
5/4/2022,SHAKE SMART  ,$6.17
5/5/2022,DOMINO'S   ,$11.08
5/5/2022,LEVELUPSWEETGREEN9027   ,$15.10
5/5/2022,SHAKE SMART  ,$6.44
5/6/2022,7-ELEVEN   ,$11.45
5/6/2022,LYFT   ,$2.60
5/6/2022,LYFT   ,$17.31
5/8/2022,TST* THE PIZZA PRESS,$11.80
5/8/2022,CHIPOTLE   ,$10.99
5/11/2022,TORCHYS NORTHSHORE  ,$14.61
5/12/2022,POKE BOWL  ,$15.16
5/13/2022,SQ *COLD COOKIE COMPAN,$1.00
5/13/2022,TST* THE PIZZA PRESS,$11.80
5/13/2022,THE HALAL CORNER ,$10.81
5/15/2022,TST* THE PIZZA PRESS,$11.80
5/16/2022,HTEAO   ,$0.60
5/16/2022,KROGER   ,$10.37
5/17/2022,SPICE BAZAAR  ,$24.97
5/17/2022,SHELL57546308909 SUGAR  ,$34.23
5/19/2022,BUC-EE'S   ,$4.19
5/19/2022,BUC-EE'S   ,$7.44
5/19/2022,BURGER KING  ,$11.23
5/20/2022,SHELL57543427603   ,$52.16
5/22/2022,KROGER   ,$11.77
5/25/2022,TACO BELL  ,$55.61
5/27/2022,BURGER KING  ,$2.15
5/29/2022,HITCH   ,$49.00
6/5/2022,KROGER   ,$13.75
6/7/2022,BUC-EE'S   ,$2.13
6/7/2022,MCDONALD'S F11177  ,$4.74
6/7/2022,SHAKE SMART  ,$6.44
6/7/2022,SHELL54205600023   ,$58.90
6/8/2022,GROUPON INC  ,$12.75
6/8/2022,KROGER   ,$53.02
6/11/2022,SHELL57543427603   ,$53.00
6/14/2022,BUC-EE'S   ,$50.01
6/14/2022,MCDONALD'S F11177  ,$4.74
6/14/2022,SHAKE SMART  ,$6.98
6/17/2022,KIMS TEA HOUSE TAPIOCA,$6.06
6/22/2022,TACO BELL  ,$4.33
6/24/2022,CHICK-FIL-A   ,$4.54
6/24/2022,SHELL57543433304 SUGAR  ,$30.00
6/25/2022,DESI BROTHERS-  ,$40.57
6/26/2022,HITCH   ,$17.00
6/28/2022,SHELL57543427603   ,$59.00
7/1/2022,TACO BELL  ,$9.00
7/3/2022,MOMENTUM INDOOR CLIMBI ,$23.82
7/4/2022,BACK MARKET  ,$158.59
7/4/2022,HOBBY LOBBY  ,$21.61
7/5/2022,AUSTIN BOULDERING PROJ ,$19.49
7/5/2022,SMOOTHIE KING  ,$9.52
7/6/2022,TST* THE PIZZA PRESS,$11.80
7/6/2022,LYFT   ,$16.99
7/9/2022,FITNESS CONNECT  ,$10.83
7/9/2022,BALOCH GRILL  ,$22.70
7/9/2022,LYFT   ,$22.99
7/11/2022,TACO BELL  ,$8.85
7/18/2022,TACO BELL  ,$8.65
7/20/2022,PAYPAL *NAMANDESAI03  ,$103.20
7/22/2022,TAIPEI TAIPEI TEA HOUSE,$6.74
7/24/2022,CALVIN KLEIN  ,$32.53
7/24/2022,OLD NAVY US ,$34.23
